Routing table for node number 1 at time 15
Destination,path,cost
0,1 12 0 ,23
2,1 2 ,11
3,1 12 6 3 ,33
4,1 2 5 4 ,40
5,1 2 5 ,28
6,1 12 6 ,26
7,1 2 7 ,33
8,1 2 8 ,23
9,1 2 9 ,20
10,1 2 9 10 ,40
11,1 11 ,15
12,1 12 ,19
13,1 2 13 ,19
14,1 2 13 14 ,31
Routing table for node number 1 at time 30
Destination,path,cost
0,1 0 ,12
2,1 2 ,16
3,1 12 3 ,26
4,1 2 5 4 ,45
5,1 2 5 ,38
6,1 12 6 ,28
7,1 2 7 ,26
8,1 2 8 ,25
9,1 0 9 ,16
10,1 0 9 10 ,38
11,1 11 ,21
12,1 12 ,14
13,1 0 9 13 ,18
14,1 0 9 14 ,28
Routing table for node number 1 at time 45
Destination,path,cost
0,1 12 0 ,10
2,1 12 0 9 2 ,15
3,1 12 3 ,7
4,1 12 3 6 4 ,33
5,1 12 0 9 2 5 ,32
6,1 12 3 6 ,20
7,1 12 0 9 14 7 ,37
8,1 12 3 8 ,17
9,1 12 0 9 ,12
10,1 12 0 9 10 ,32
11,1 11 ,9
12,1 12 ,6
13,1 12 0 9 2 13 ,32
14,1 12 0 9 14 ,26
